,precision,recall,f1-score,support
 modern,0.6956102175969726,1.0,0.8204836351868591,36763.0
 Unknown,0.0,0.0,0.0,9421.0
 Italy,0.0,0.0,0.0,2651.0
 Netherlands,0.0,0.0,0.0,989.0
 France,0.0,0.0,0.0,775.0
 Flanders,0.0,0.0,0.0,661.0
 Germany,0.0,0.0,0.0,356.0
 Spain,0.0,0.0,0.0,239.0
 China,0.0,0.0,0.0,219.0
 Japan,0.0,0.0,0.0,204.0
 England,0.0,0.0,0.0,127.0
 India,0.0,0.0,0.0,95.0
 Hungary,0.0,0.0,0.0,69.0
 Austria,0.0,0.0,0.0,67.0
 United States,0.0,0.0,0.0,30.0
 Russia,0.0,0.0,0.0,28.0
 Denmark,0.0,0.0,0.0,25.0
 Switzerland,0.0,0.0,0.0,22.0
 Belgium,0.0,0.0,0.0,15.0
 Roman Empire,0.0,0.0,0.0,11.0
 Tibet,0.0,0.0,0.0,10.0
 Scotland,0.0,0.0,0.0,8.0
 Korea,0.0,0.0,0.0,8.0
 Sweden,0.0,0.0,0.0,7.0
 United States of America,0.0,0.0,0.0,6.0
 Norway,0.0,0.0,0.0,6.0
 Nepal,0.0,0.0,0.0,5.0
 Poland,0.0,0.0,0.0,4.0
 Portugal,0.0,0.0,0.0,4.0
 Venezuela,0.0,0.0,0.0,4.0
 Czech Republic,0.0,0.0,0.0,4.0
 Ireland,0.0,0.0,0.0,4.0
 Greece,0.0,0.0,0.0,3.0
 Belize,0.0,0.0,0.0,2.0
 Kushan Empire,0.0,0.0,0.0,2.0
 Thailand,0.0,0.0,0.0,1.0
 United Kingdom,0.0,0.0,0.0,1.0
 Sasanian Empire,0.0,0.0,0.0,1.0
 Finland,0.0,0.0,0.0,1.0
 Colombia,0.0,0.0,0.0,1.0
 Bangladesh,0.0,0.0,0.0,1.0
accuracy,0.6956102175969726,0.6956102175969726,0.6956102175969726,0.6956102175969726
macro avg,0.016966102868218844,0.024390243902439025,0.020011795980167293,52850.0
weighted avg,0.4838735748253075,0.6956102175969726,0.570736800007086,52850.0
